,Point,Assist,Rebound,Turnover,Start Ratio,MP,FGA,FGP,3PA,3PP,FTA,FTP,Steal,Block,Height,Weight,Position,College Name,Pick
184,6.1,1.1,6.0,1.4,0.33064516129032256,19.2,5.0,0.518,0.0,0.0,1.6,0.622,0.6,1.4,213.0,106.0,Center,UConn,29.0
185,13.9,1.0,7.4,2.5,1.0,28.2,8.8,0.561,0.0,0.0,5.6,0.732,0.8,1.5,206.0,106.0,Center,Georgetown,30.0
186,13.9,1.6,8.6,2.2,0.5277777777777778,33.1,8.6,0.567,1.1,0.374,5.1,0.731,0.8,0.3,206.0,99.0,Forward,Washington State,31.0
187,11.3,4.4,2.8,2.0,0.62,27.4,8.8,0.459,3.5,0.397,2.6,0.719,1.1,0.0,193.0,86.0,Guard,UNC,37.0
188,13.6,0.7,7.2,2.1,0.875,27.9,8.9,0.558,0.1,0.273,5.5,0.661,0.4,1.2,213.0,111.0,Center,Tennessee,38.0
189,17.7,2.6,7.5,2.6,0.4957983193277311,32.4,13.0,0.474,2.2,0.285,6.4,0.727,1.2,0.1,201.0,102.0,Forward,Texas Tech,41.0
190,10.4,7.6,3.2,4.2,0.9655172413793104,29.9,9.2,0.392,2.9,0.247,3.4,0.72,2.3,0.2,193.0,94.0,Guard,LSU,42.0
191,18.9,2.5,4.1,2.2,0.7627118644067796,28.7,12.7,0.493,3.9,0.372,5.8,0.849,2.0,0.3,190.0,83.0,Guard,Murray State,46.0
192,6.6,1.2,6.7,1.3,0.29245283018867924,22.8,5.0,0.502,0.6,0.294,2.4,0.577,0.6,0.4,206.0,115.0,Center,Michigan State,48.0
193,7.8,0.8,6.3,1.7,0.2702702702702703,19.8,5.4,0.545,0.0,0.4,2.8,0.644,0.4,1.6,211.0,106.0,Center,Marquette,49.0
194,13.8,1.9,5.5,2.1,0.7333333333333333,27.8,11.4,0.468,3.0,0.323,3.1,0.689,1.7,0.4,196.0,90.0,Forward,Western Kentucky,51.0
195,15.9,2.0,5.8,2.0,0.8333333333333334,31.3,11.6,0.556,0.4,0.302,4.0,0.741,0.9,0.4,201.0,102.0,Forward,Green Bay,53.0
196,7.0,4.4,2.7,2.4,0.7952755905511811,28.0,5.7,0.432,2.6,0.347,2.0,0.589,1.6,0.6,188.0,84.0,Guard,Arizona,56.0
197,10.7,6.2,4.1,3.1,0.8376068376068376,33.4,7.8,0.447,4.1,0.369,2.8,0.778,1.6,0.4,196.0,86.0,Guard,Georgia Tech,57.0
198,16.5,2.3,12.3,2.6,0.9921875,35.1,10.7,0.577,0.4,0.321,5.9,0.689,0.5,3.8,211.0,112.0,al),Wake Forest,1.0
199,20.8,1.2,8.8,2.3,0.7295081967213115,30.6,14.0,0.522,4.2,0.401,5.3,0.851,0.7,1.0,208.0,99.0,Forward,Utah,2.0
200,18.5,5.1,5.6,3.7,0.9818181818181818,33.9,13.1,0.413,5.7,0.382,6.5,0.857,1.9,0.1,190.0,91.0,Guard,Colorado,3.0
201,10.7,0.8,8.3,1.6,0.6551724137931034,24.7,7.7,0.545,0.4,0.278,3.3,0.649,0.6,1.9,211.0,104.0,Center,Texas Tech,5.0
202,13.3,1.9,4.1,1.4,0.6973684210526315,26.0,11.0,0.483,2.8,0.344,2.2,0.782,1.3,0.2,201.0,95.0,Forward,Kentucky,6.0
203,16.9,2.1,6.0,2.8,0.96875,31.4,13.0,0.45,4.4,0.336,4.8,0.796,1.8,1.0,208.0,104.0,Forward,Villanova,7.0
204,18.8,1.2,8.7,2.6,0.91,26.9,11.6,0.565,0.0,0.0,7.7,0.743,0.9,0.4,201.0,117.0,Forward,Cincinnati,10.0
205,12.6,1.0,5.3,1.9,0.3305785123966942,23.6,9.3,0.44,3.6,0.34,3.8,0.843,0.9,0.6,206.0,106.0,Center,Providence,12.0
206,12.9,1.2,6.1,2.1,0.9591836734693877,28.5,10.8,0.497,0.2,0.313,3.2,0.642,0.6,0.9,206.0,117.0,Forward,Michigan,14.0
207,14.9,6.8,3.8,3.5,0.7391304347826086,32.2,10.8,0.416,2.4,0.336,6.4,0.798,2.6,0.1,178.0,78.0,Guard,Stanford,16.0
208,17.3,2.0,7.2,2.4,0.967741935483871,30.1,12.8,0.497,3.2,0.337,5.0,0.692,1.0,0.8,206.0,99.0,Forward,Chattanooga,17.0
209,9.4,0.5,6.6,1.5,0.484375,21.5,6.0,0.549,0.0,1.0,4.2,0.669,0.8,1.7,211.0,120.0,Center,Kansas,19.0
210,15.0,3.2,5.7,2.5,0.9553571428571429,32.2,10.5,0.447,4.6,0.379,5.2,0.75,1.4,0.7,198.0,97.0,Guard,Bradley,21.0
211,14.4,3.5,5.5,2.3,1.1166666666666667,29.7,11.9,0.427,3.2,0.307,4.1,0.786,1.8,0.3,185.0,83.0,Guard,Minnesota,23.0
